EDGE_ip,Scheduling Policy,DNN,Batch size,SERVER Core,BW,Num Tile,Total latency (ms),Transmission latency (ms)
147.46.118.129,dynamic,vgg16,1,64,100,50,171.360400,55.882370
147.46.118.129,dynamic,vgg16,1,64,100,100,171.823400,59.992003
147.46.118.129,dynamic,vgg16,1,64,100,200,172.117400,57.556939
147.46.118.129,dynamic,vgg16,1,64,100,400,167.721800,57.916855
147.46.118.129,dynamic,vgg16,1,64,100,800,180.833000,57.015001
147.46.118.129,dynamic,resnet50,1,64,100,50,109.211400,60.481119
147.46.118.129,dynamic,resnet50,1,64,100,100,107.124400,56.186878
147.46.118.129,dynamic,resnet50,1,64,100,200,104.316600,53.802394
147.46.118.129,dynamic,resnet50,1,64,100,400,128.358800,66.868543
147.46.118.129,dynamic,resnet50,1,64,100,800,110.407800,54.344844
147.46.118.129,dynamic,bert_base,1,64,100,50,0.000000,0.000000
147.46.118.129,dynamic,bert_base,1,64,100,100,309.232600,37.787747
147.46.118.129,dynamic,bert_base,1,64,100,200,334.105800,45.041823
147.46.118.129,dynamic,bert_base,1,64,100,400,387.978800,36.694848
147.46.118.129,dynamic,bert_base,1,64,100,800,381.322600,35.922360
147.46.118.129,dynamic,yolov3,1,64,100,50,500.332200,178.998065
147.46.118.129,dynamic,yolov3,1,64,100,100,477.470800,175.570392
147.46.118.129,dynamic,yolov3,1,64,100,200,484.368400,178.728103
147.46.118.129,dynamic,yolov3,1,64,100,400,549.140800,180.281806
147.46.118.129,dynamic,yolov3,1,64,100,800,556.054000,181.114244
